home_team,away_team,raw_home_xg,raw_away_xg,clipped_home_xg,clipped_away_xg,final_home_xg,final_away_xg,home_clipped,away_clipped,actual_home_score,actual_away_score,match_status
Newcastle United FC,Brighton & Hove Albion FC,1.3956726789474487,1.4071635007858276,1.3956726789474487,1.4071635007858276,1.3957,1.4072,False,False,3.0,1.0,FINISHED
Brentford FC,West Ham United FC,1.4775972366333008,0.8504089117050171,1.4775972366333008,0.8504089117050171,1.4776,0.8504,False,False,3.0,0.0,FINISHED
Leeds United FC,Burnley FC,2.076120138168335,0.5190849900245667,2.076120138168335,0.5190849900245667,2.0761,0.5191,False,False,3.0,1.0,FINISHED
Manchester United FC,Brentford FC,1.5978477001190186,0.3664161264896393,1.5978477001190186,0.3664161264896393,1.5978,0.3664,False,False,2.0,1.0,FINISHED
Arsenal FC,Newcastle United FC,2.403830051422119,0.6241218447685242,2.403830051422119,0.6241218447685242,2.4038,0.6241,False,False,1.0,0.0,FINISHED
Wolverhampton Wanderers FC,Tottenham Hotspur FC,0.9942622780799866,1.1790542602539062,0.9942622780799866,1.1790542602539062,0.9943,1.1791,False,False,0.0,1.0,FINISHED
West Ham United FC,Everton FC,1.5755571126937866,1.121307373046875,1.5755571126937866,1.121307373046875,1.5756,1.1213,False,False,2.0,1.0,FINISHED
Liverpool FC,Crystal Palace FC,1.9944638013839722,1.033316969871521,1.9944638013839722,1.033316969871521,1.9945,1.0333,False,False,3.0,1.0,FINISHED
Fulham FC,Aston Villa FC,1.3594305515289307,1.5483477115631104,1.3594305515289307,1.5483477115631104,1.3594,1.5483,False,False,1.0,0.0,FINISHED
Sunderland AFC,Nottingham Forest FC,0.8806400299072266,1.4746376276016235,0.8806400299072266,1.4746376276016235,0.8806,1.4746,False,False,0.0,5.0,FINISHED
Burnley FC,Manchester City FC,1.1462316513061523,2.320248603820801,1.1462316513061523,2.320248603820801,1.1462,2.3202,False,False,0.0,1.0,FINISHED
AFC Bournemouth,Leeds United FC,2.1783342361450195,0.8128763437271118,2.1783342361450195,0.8128763437271118,2.1783,0.8129,False,False,2.0,2.0,FINISHED
Brighton & Hove Albion FC,Chelsea FC,1.8286144733428955,1.3303697109222412,1.8286144733428955,1.3303697109222412,1.8286,1.3304,False,False,3.0,0.0,FINISHED
Crystal Palace FC,West Ham United FC,0.9381693005561829,1.340775728225708,0.9381693005561829,1.340775728225708,0.9382,1.3408,False,False,0.0,0.0,FINISHED
